"series","Toeslope","Footslope","Backslope","Shoulder","Summit","n","shannon_entropy"
"AMADOR",0,0,0.8,0.0333,0.1667,30,0.36687404516443
"BORDENGULCH",0.0169,0.0339,0.6271,0.2203,0.1017,59,0.64745897494137
"CECIL",0,0,0.2944,0.3523,0.3533,1070,0.68044155795413
"KINROSS",0.7882,0.1771,0.0347,0,0,288,0.37950444775747
"LEON",0.4286,0.5714,0,0,0,7,0.42431976856365
"PARDEE",0.0625,0,0.1042,0.2292,0.6042,48,0.65302530696722
"PIERRE",0,0.1355,0.7269,0.0108,0.1269,465,0.50549527177389
"SITES",0,0.0144,0.7554,0.0863,0.1439,139,0.47430076695175
"TAPPAN",0.6957,0,0,0,0.3043,23,0.38178781135965
"TOOMES",0.0364,0,0.5273,0.2364,0.2,55,0.69645132441909
"TRISTAN",0,0,1,0,0,14,0
