mlraoffice,seriesname,ac
1,MOSMAN,376642
1,ST. NICHOLAS,323998
1,WAPI,109556
1,HYDABURG,80711
1,KLAWASI,78508
1,COPPER RIVER,66177
1,HELM,57483
1,KASIANA,49906
1,MENDELTNA,41386
1,KITSAP,41286
1,CATCHELL,37811
1,KWATAHEIN,35655
1,NEWAUKUM,35284
1,NAGITSY,35023
1,CISPUS,28066
1,NATAGA,18388
1,SIFTON,13685
1,CHUCKRIVER,11596
1,CHICHAGOF,11274
1,KUSLINA,9941
1,CHILKOOT,8606
1,YAHNE,7884
1,WALVILLE,7691
1,SNAKE,7444
1,SKAGWAY,6569
1,LASTANCE,5909
1,WELLSDALE,5642
1,REVEL,5195
1,STANDUP,4744
1,RECK,4619
1,MINCHUMINA,4508
1,DADINA,3466
1,SPASSKI,3323
1,FROSTCIRCLE,3184
1,FANSHAW,3021
1,WATERFALL,2949
1,MAGNETIC,2614
1,EKLUTNA,2240
1,KLANELNEECHENA,1964
1,KIESEL,1141
1,TSIRKU,566
1,ZOLOTOI,385
1,OGTNA,122
1,GOODVIEW,113
2,TULASE,165527
2,BIDDLEMAN,97037
2,MODJESKA,55805
2,PARANAT,47850
2,RODAD,39944
2,UPSPRING,34023
2,DUFF,27423
2,ALAMO,25231
2,XYNO,24108
2,ROSSI,21824
2,HUICHICA,17671
2,KITCHEN CREEK,15371
2,CORBIERE,12089
2,BOOMTOWN,11039
2,BORAVALL,9881
2,REWARD,8211
2,WINLO,7765
2,TIVY,6491
2,REEFRIDGE,5560
2,CONE,4705
2,APILAM,3729
2,CARIOCA,3178
2,KAUPO,2560
2,OQUIN,1890
2,KEAAU,1202
2,OLOKUI,1172
2,DENTDRAW,662
2,CABLAB,388
2,CAMPTANK,237
3,GALESTOWN,90992
3,RIO ARRIBA,12151
3,PEAKIN,4757
3,PINONES,899
3,REPARADA,642
4,HANKSVILLE,146880
4,RIVRA,87706
4,ISHKOTEN,57525
4,LEAL,55304
4,TIAGOS,43275
4,ANSEL,40448
4,WINNEMUCCA,39070
4,MARTELLA,30519
4,SCAR,30337
4,WOODROCK,29767
4,HARKERS,25944
4,SPEARHEAD,24385
4,CASTELLEIA,22341
4,TRAPPER,15112
4,IRIM,14128
4,LOSMARIOS,13658
4,WICHUP,13451
4,TEALSON,12400
4,SHINEBERGER,12352
4,OBRAY,11688
4,SUPOSO,9365
4,MINERAL MOUNTAIN,9074
4,SANPITCH,8993
4,CANARWAY,7896
4,HEFLIN,7272
4,DEMPSEY,6483
4,TENEX,3391
4,MONTEZ,3390
4,LILAPOINT,2458
4,CORA,1134
4,JUDY,893
4,PROW,350
4,MYSTEN,267
4,GARZA,76
5,LOUP,281652
5,WITTEN,78397
5,NENZEL,55202
5,WOLCO,18460
5,LIVAN,11408
5,XAVIER,7002
5,SELDOM,4347
5,WESTPLAIN,2357
5,GRINTER,1632
6,WRIGHTSVILLE,417152
6,DANDRIDGE,203324
6,SECESH,203166
6,CUMBERLAND,161452
6,MIDCO,107250
6,ALTICREST,107065
6,SANDVIEW,80950
6,MOUNT LUCAS,69746
6,WESTON,50721
6,BEECH GROVE,23364
6,BAYS,16591
6,SYENITE,9656
6,STELLTOWN,2898
6,ALMAVILLE,745
7,MEMPHIS,1997628
7,ALLIGATOR,1203977
7,DEANBURG,15134
8,PLEGOMIR,57199
8,MILLPAW,47497
8,SELEVIN,37739
8,MALSTROM,28985
8,BROBETT,17675
8,WAMPOO,13993
8,UNGENE,11411
8,LUAP,10174
8,MILLVILLE,3711
8,PARADISE,1321
9,ABILENE,342309
9,RADER,294429
9,OTANYA,159346
9,MESSER,147783
9,VOCA,94149
9,WHAKANA,76966
9,CRANELL,64338
9,QUEMADO,60905
9,HUNTSBURG,56313
9,TEXLA,51860
9,GUNTER,22824
9,HICOTA,19699
9,BEXAR,16730
9,TAMFORD,15291
9,DOOLIN,15286
9,KEMP,13448
9,LATINA,12060
9,RUPLEY,11929
9,HIGHBANK,11082
9,AMBIA,10755
9,WINEDALE,10350
9,TOMAST,9345
9,BAYUCOS,5094
9,BENKLIN,4478
9,ROXTON,4151
9,HORNSBY,3017
9,WARDA,2763
9,GALILEE,2499
9,GOREEN,2009
10,NEWOT,72548
10,SCHWEITZER,19543
10,NERESON,9425
10,MELRUDE,5255
10,CARGILL,5105
11,BRYCE,286540
11,BUCKHART,162551
11,COALVALE,11867
11,MONETA,8285
11,BROOKLYN,7304
12,MACHIAS,26733
12,TACODA,21975
12,CORAL,20179
12,ENOSBURG,9315
12,FRESHKILLS,1292
